YEAR,AVE.
2016, 
2015,237.017
2014,236.736
2013,232.957
2012,229.594
2011,224.939
2010,218.056
2009,214.537
2008,215.303
2007,207.342
2006,201.600
2005,195.300
2004,188.900
2003,183.960
2002,179.880
2001,177.100
2000,172.200
1999,166.600
1998,163.000
1997,160.500
1996,156.900
1995,152.400
1994,148.200
1993,144.500
1992,140.300
1991,136.200
1990,130.700
1989,124.000
1988,118.300
1987,113.600
1986,109.600
1985,107.600
1984,103.900
1983,99.600
1982,96.500
1981,90.900
1980,82.400
1979,72.600
1978,65.200
1977,60.600
1976,56.900
1975,53.800
1974,49.300
1973,44.400
1972,41.800
1971,40.500
1970,38.800
1969,36.700
1968,34.800
1967,33.400
1966,32.400
1965,31.500
1964,31.000
1963,30.600
1962,30.200
1961,29.900
1960,29.600
1959,29.100
1958,28.900
1957,28.100
1956,27.200
1955,26.800
1954,26.900
1953,26.700
1952,26.500
1951,26.000
1950,24.100
1949,23.800
1948,24.100
1947,22.300
1946,19.500
1945,18.000
1944,17.600
1943,17.300
1942,16.300
1941,14.700
1940,14.000
1939,13.900
1938,14.100
1937,14.400
1936,13.900
1935,13.700
1934,13.400
1933,13.000
1932,13.700
1931,15.200
1930,16.700
1929,17.100
1928,17.100
1927,17.400
1926,17.700
1925,17.500
1924,17.100
1923,17.100
1922,16.800
1921,17.900
1920,20.000
1919,17.300
1918,15.100
1917,12.800
1916,10.900
1915,10.100
1914,10.000
1913,9.9
